"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT"
"20230223 12:37:42,1642.57,1642.56,1642.84,23818.7,23829.0,23823.8,94.62,94.53"
"20230223 12:38:44,1642.44,1642.47,1642.8,23826.6,23836.2,23836.1,94.65,94.54"
"20230223 12:39:46,1641.48,1641.35,1641.63,23813.5,23823.4,23823.8,94.66,94.55"
"20230223 12:41:15,1641.02,1640.93,1641.3,23797.4,23807.9,23808.9,94.51,94.42"
"20230223 12:42:17,1640.18,1640.29,1640.64,23785.4,23800.0,23798.9,94.47,94.38"
"20230223 12:43:19,1641.04,1640.93,1641.34,23798.8,23809.7,23808.9,94.51,94.41"
"20230223 12:44:21,1641.42,1641.49,1641.8,23803.9,23816.6,23813.0,94.49,94.41"
"20230223 12:47:10,1641.33,1641.28,1641.72,23796.0,23804.5,23801.2,94.55,94.47"
"20230223 12:48:10,1642.99,1642.99,1643.2,23822.2,23831.9,23831.7,94.67,94.57"
"20230223 12:49:10,1644.37,1644.75,1644.99,23867.0,23865.5,23858.5,94.69,94.6"
"20230223 12:50:10,1646.69,1646.79,1646.99,23907.8,23924.8,23916.6,94.8,94.72"
"20230223 12:51:10,1646.64,1646.46,1646.77,23908.2,23921.9,23913.8,94.84,94.75"
"20230223 12:52:10,1647.87,1647.71,1647.9,23925.1,23932.9,23926.2,94.84,94.76"
"20230223 12:53:10,1648.53,1648.43,1648.64,23950.6,23956.2,23951.4,94.84,94.76"
"20230223 12:54:10,1650.73,1650.76,1650.9,23980.5,23991.4,23985.4,94.87,94.79"
"20230223 12:55:10,1649.78,1649.9,1650.01,23965.8,23973.5,23967.4,94.84,94.77"
"20230223 12:56:10,1648.5,1648.21,1648.65,23929.8,23937.8,23943.3,94.76,94.69"
"20230223 12:57:10,1649.02,1649.04,1649.36,23933.6,23942.3,23939.7,94.8,94.74"
"20230223 12:58:11,1648.48,1648.49,1648.83,23920.8,23929.8,23926.6,94.82,94.76"
"20230223 12:59:10,1647.68,1647.62,1648.01,23901.7,23911.1,23911.9,94.82,94.75"
"20230223 13:00:11,1647.98,1647.94,1648.45,23907.8,23914.9,23908.4,94.88,94.81"
"20230223 13:01:11,1648.39,1648.29,1648.8,23923.5,23931.9,23925.4,94.92,94.84"
"20230223 13:02:11,1649.27,1649.03,1649.36,23933.8,23941.3,23944.6,94.97,94.91"
"20230223 13:03:11,1650.23,1649.99,1651.05,23938.6,23944.9,23939.6,94.96,94.89"
"20230223 13:04:11,1649.47,1649.31,1649.85,23948.2,23952.1,23946.1,94.95,94.9"
"20230223 13:05:11,1650.67,1650.77,1651.05,23989.6,23995.7,23988.5,94.96,94.93"
"20230223 13:06:11,1650.08,1649.96,1650.27,23963.2,23967.3,23967.7,94.96,94.91"
"20230223 13:07:11,1650.38,1650.36,1650.84,23968.6,23974.7,23972.9,94.98,94.91"
"20230223 13:08:11,1649.62,1649.47,1650.25,23960.0,23963.7,23962.2,94.99,94.93"
"20230223 13:09:11,1648.53,1648.29,1648.89,23959.1,23963.9,23964.3,94.99,94.92"
"20230223 13:10:12,1649.7,1649.53,1650.3,23964.7,23967.0,23969.1,95.01,94.95"
"20230223 13:11:11,1649.88,1649.63,1650.14,23966.8,23969.9,23971.1,95.04,94.98"
"20230223 13:12:11,1650.86,1650.8,1651.33,23988.4,23988.5,23990.4,95.1,95.03"
"20230223 13:13:12,1651.49,1651.41,1651.85,24026.2,24030.5,24032.7,95.09,95.04"
"20230223 13:14:12,1658.41,1659.13,1658.99,24109.0,24112.2,24101.6,95.29,95.25"
"20230223 13:15:12,1660.72,1660.7,1661.02,24113.2,24118.9,24119.4,95.44,95.37"
"20230223 13:16:12,1661.58,1661.69,1661.73,24093.9,24102.1,24099.0,95.47,95.43"
"20230223 13:17:12,1658.8,1658.85,1659.05,24080.4,24085.9,24086.7,95.32,95.28"
"20230223 13:18:12,1664.9,1664.89,1664.93,24135.9,24143.5,24137.1,95.51,95.47"
"20230223 13:19:12,1669.1,1669.7,1669.1,24185.3,24189.9,24183.7,95.62,95.56"
"20230223 13:20:12,1668.93,1668.81,1668.86,24190.4,24198.2,24198.4,95.62,95.59"
"20230223 13:21:12,1670.04,1669.8,1669.88,24193.4,24190.8,24196.2,95.63,95.6"
"20230223 13:22:12,1666.95,1666.81,1667.31,24180.5,24180.0,24186.0,95.56,95.51"
"20230223 13:23:12,1666.39,1666.17,1666.54,24177.7,24174.3,24180.3,95.56,95.5"
"20230223 13:24:12,1664.01,1664.0,1664.22,24150.0,24146.0,24160.8,95.39,95.33"
"20230223 13:25:12,1665.53,1665.66,1665.83,24172.2,24167.7,24177.2,95.47,95.39"
"20230223 13:26:12,1663.65,1663.75,1664.05,24152.6,24150.8,24156.9,95.36,95.31"
"20230223 13:27:12,1663.05,1663.1,1663.43,24150.9,24143.5,24155.9,95.31,95.24"
